,Analyze Gauss,Laplace,Iterative Sampling,Non-private
0.01,0.21105092221523603,0.21134839209796233,0.2107049119421385,0.06798745001695496
0.1,0.21058712865147255,0.21058418045831168,0.2104030040448421,0.06798745001695496
0.5,0.21025450069969906,0.2070619122718141,0.21126554346164148,0.06798745001695496
1.0,0.21029169188058316,0.2003469787187818,0.2111197654943312,0.06798745001695496
10.0,0.2068866786298856,0.14000781996870995,0.21025897661055837,0.06798745001695496
100.0,0.16383433187230045,0.08242891703848655,0.2115549000245091,0.06798745001695496
