,Analyze Gauss,Laplace,Iterative Sampling,Non-private
0.01,0.21112231488758035,0.21104049872772176,0.2112747422873773,0.06798745001695496
0.1,0.21105648832138355,0.2106346497577872,0.2109846371648575,0.06798745001695496
0.5,0.21161657549383298,0.20570849859932594,0.20988331370467025,0.06798745001695496
1.0,0.21030766225911282,0.20067863685102016,0.2114437432065882,0.06798745001695496
10.0,0.20899634460954145,0.13983098958711884,0.2115971825753603,0.06798745001695496
100.0,0.18413647746018402,0.08252804663944413,0.2111816822471643,0.06798745001695496
