,Analyze Gauss,Laplace,Non-private
0.01,0.06798776666026174,0.21058224544124896,0.06798745001695496
0.1,0.06798748516262654,0.21017905063944298,0.06798745001695496
0.5,0.06798749252502156,0.20583009266906097,0.06798745001695496
1.0,0.06798743931926154,0.19994696948916815,0.06798745001695496
10.0,0.067987449196244,0.13963772230700042,0.06798745001695496
100.0,0.06798744985060419,0.08260873415236067,0.06798745001695496
